HOST_ID,HOST_NAME,HOST_SINCE,HOST_LOCATION,IS_SUPERHOST,RESPONSE_RATE,CREATED_AT,UPDATED_AT,AVG_HOST_RATING
1,Amelia Ivanov,2015-10-23,Peru,false,86,2015-10-23 02:00:00,2024-11-30 00:00:00,4.75
2,Tina Kamau,2015-09-30,Peru,false,96,2015-09-30 01:00:00,2025-07-31 00:00:00,3.22
3,Lucas Turner,2018-04-14,Namibia,false,78,2018-04-14 06:00:00,2018-04-14 06:00:00,3.81
4,James Nkomo,2021-03-23,Spain,false,93,2021-03-23 09:00:00,2021-03-23 09:00:00,4.59
5,Emma Walsh,2018-01-17,Zambia,false,99,2018-01-17 20:00:00,2024-06-05 00:00:00,4.55
6,Noah Brown,2022-10-23,South Korea,false,79,2022-10-23 06:00:00,2024-09-09 00:00:00,4.82
7,Randy Singh,2015-12-05,France,true,96,2015-12-05 08:00:00,2024-12-27 00:00:00,4.81
8,Benjamin Murphy,2018-06-13,Namibia,false,87,2018-06-13 02:00:00,2018-06-13 02:00:00,4.03
9,Charlotte Singh,2017-05-19,Australia,false,90,2017-05-19 14:00:00,2017-05-19 14:00:00,3.91
10,Charlotte Garcia,2019-02-09,Japan,false,80,2019-02-09 06:00:00,2024-10-10 00:00:00,3.89
11,Isabella Tanaka,2017-12-06,Canada,false,86,2017-12-06 07:00:00,2024-08-13 00:00:00,4.58
12,Randy Walsh,2015-05-15,Mexico,false,74,2015-05-15 02:00:00,2024-05-03 00:00:00,3.37
13,Harper Ivanov,2022-01-30,United Kingdom,false,73,2022-01-30 08:00:00,2024-12-03 00:00:00,4.03
14,William Abbe,2016-10-03,Poland,false,80,2016-10-03 04:00:00,2024-02-02 00:00:00,4.85
15,Charlotte Abbe,2017-08-31,Zambia,false,73,2017-08-31 04:00:00,2024-01-13 00:00:00,4.99
16,Ava Williams,2017-01-17,Brazil,false,76,2017-01-17 10:00:00,2024-12-21 00:00:00,4.56
17,Alexander Ryan,2015-05-24,Canada,false,79,2015-05-24 09:00:00,2024-11-06 00:00:00,4.75
18,Noah Walsh,2021-11-18,Australia,false,77,2021-11-19 00:00:00,2021-11-19 00:00:00,4.53
