HOST_ID,HOST_NAME,HOST_SINCE,IS_SUPERHOST,RESPONSE_RATE,CREATED_AT,UPDATED_AT,AVG_HOST_RATING
1,Liam Kamau,2020-10-09,false,89,2020-10-09 04:00:00,2024-03-18 00:00:00,4.61
2,James Abbe,2022-09-20,false,92,2022-09-20 20:00:00,2024-05-14 00:00:00,3.43
3,Liam Williams,2016-01-17,false,98,2016-01-17 01:00:00,2024-06-04 00:00:00,4.4
4,Elijah Nkomo,2019-04-12,false,98,2019-04-12 23:00:00,2024-03-26 00:00:00,4.55
5,James Soto,2017-04-03,false,84,2017-04-03 23:00:00,2024-03-03 00:00:00,4.96
6,Lucas Murphy,2020-09-15,false,71,2020-09-15 18:00:00,2024-04-04 00:00:00,4.54
7,Kyle Tanaka,2015-07-03,false,83,2015-07-03 12:00:00,2024-05-10 00:00:00,4.73
8,Lucas Müller,2020-03-13,false,100,2020-03-13 09:00:00,2024-02-29 00:00:00,4.29
9,William Murphy,2015-08-05,false,77,2015-08-05 12:00:00,2024-05-05 00:00:00,3.96
10,Harper Garcia,2019-07-06,false,98,2019-07-06 15:00:00,2024-04-18 00:00:00,3.81
11,Noah Singh,2020-09-13,false,78,2020-09-13 02:00:00,2024-02-05 00:00:00,4.97
12,Henry Jones,2015-12-02,false,96,2015-12-02 10:00:00,2024-07-16 00:00:00,3.02
13,Lucas Soto,2017-03-21,false,73,2017-03-21 03:00:00,2024-01-26 00:00:00,3.91
14,Benjamin Silva,2022-12-24,false,76,2022-12-24 07:00:00,2024-03-07 00:00:00,4.6
15,Olivia Walsh,2020-12-24,false,74,2020-12-24 01:00:00,2024-07-01 00:00:00,4.69
16,Isabella Abbe,2017-10-04,false,89,2017-10-04 05:00:00,2024-03-07 00:00:00,5.0
17,Olivia Dubois,2019-09-21,false,78,2019-09-21 01:00:00,2024-04-21 00:00:00,4.9
18,Harper Dubois,2016-04-29,false,89,2016-04-29 14:00:00,2024-04-18 00:00:00,4.6
19,Randy Garcia,2016-01-15,false,72,2016-01-15 18:00:00,2024-06-22 00:00:00,4.98
20,Elijah Turner,2018-02-04,false,80,2018-02-04 11:00:00,2024-02-19 00:00:00,4.55
21,Sophia Ivanov,2015-03-20,false,94,2015-03-20 07:00:00,2024-06-14 00:00:00,3.83
22,Kyle Turner,2022-06-20,true,94,2022-06-20 16:00:00,2024-07-17 00:00:00,4.92
23,James Müller,2021-01-18,false,70,2021-01-18 02:00:00,2024-07-02 00:00:00,5.0
24,Sophia Soto,2015-11-29,true,95,2015-11-29 03:00:00,2024-03-23 00:00:00,4.84
25,Emma Dubois,2016-12-14,false,83,2016-12-14 21:00:00,2024-04-28 00:00:00,4.56
26,William Brown,2021-09-30,false,94,2021-09-30 11:00:00,2024-02-26 00:00:00,4.45
27,Alexander Brown,2022-06-23,false,80,2022-06-23 11:00:00,2024-01-11 00:00:00,4.78
28,Sophia Singh,2019-12-16,false,89,2019-12-16 19:00:00,2024-01-23 00:00:00,4.89
29,Randy Williams,2015-04-04,false,90,2015-04-04 05:00:00,2024-06-06 00:00:00,4.63
30,Sophia Singh,2021-03-05,true,99,2021-03-05 10:00:00,2024-06-28 00:00:00,4.86
31,William Turner,2021-07-27,false,91,2021-07-27 11:00:00,2024-06-11 00:00:00,3.98
32,Benjamin Wilson,2015-10-18,false,81,2015-10-18 17:00:00,2024-01-09 00:00:00,4.94
33,Charlotte Soto,2017-01-14,false,98,2017-01-14 08:00:00,2024-06-22 00:00:00,4.73
34,Elijah Wilson,2018-06-03,false,92,2018-06-03 11:00:00,2024-04-13 00:00:00,3.44
35,Charlotte Kamau,2022-11-09,false,92,2022-11-09 03:00:00,2024-05-13 00:00:00,3.36
36,Sophia Tanaka,2018-11-30,false,98,2018-11-30 01:00:00,2024-01-20 00:00:00,4.0
