HOST_ID,HOST_NAME,HOST_SINCE,HOST_LOCATION,IS_SUPERHOST,RESPONSE_RATE,CREATED_AT,UPDATED_AT,AVG_HOST_RATING
1,Evelyn Richards,2019-04-05,Zambia,false,97,2019-04-05 12:00:00,2024-09-11,3.3
2,Sophia Richards,2019-03-14,Morocco,false,82,2019-03-14 14:00:00,2025-04-11,3.27
3,Sophia Jones,2016-05-02,Canada,false,71,2016-05-02 03:00:00,2024-10-28,3.6
4,Noah Smith,2019-03-13,Argentina,false,93,2019-03-13 16:00:00,2024-01-15,3.24
5,Olivia Garcia,2018-06-30,Argentina,false,83,2018-07-01 00:00:00,2024-11-05,3.96
6,Randy Silva,2019-09-28,Argentina,false,82,2019-09-28 23:00:00,2025-08-20,4.96
7,Sophia Smith,2019-03-24,Egypt,false,80,2019-03-24 05:00:00,2024-05-25,4.9
8,Henry Richards,2017-10-28,Poland,false,85,2017-10-28 16:00:00,2024-07-22,3.69
9,Harper Dubois,2022-05-01,Spain,false,85,2022-05-01 07:00:00,2024-03-23,4.76
10,Henry Jones,2021-03-09,Spain,false,78,2021-03-10 00:00:00,2024-12-10,3.09
11,Liam Jackson,2016-12-30,Morocco,false,70,2016-12-30 11:00:00,2025-03-06,4.97
12,Liam Garcia,2020-12-18,Zambia,false,91,2020-12-18 05:00:00,2024-02-28,3.37
13,Lucas Murphy,2017-07-12,India,false,95,2017-07-12 08:00:00,2025-01-20,4.09
14,Liam Williams,2018-07-29,Japan,false,82,2018-07-29 21:00:00,2025-03-16,3.51
15,Tina Abbe,2015-12-11,Mexico,false,91,2015-12-11 22:00:00,2024-07-24,4.5
16,Kyle Silva,2019-10-14,Italy,false,93,2019-10-14 20:00:00,2024-08-22,4.87
17,Henry Ivanov,2021-06-17,Argentina,false,94,2021-06-17 02:00:00,2025-03-29,4.27
18,Oliver Abbe,2016-02-25,Jamaica,false,97,2016-02-25 22:00:00,2025-05-02,4.46
19,Benjamin Soto,2019-12-20,Spain,false,82,2019-12-21 00:00:00,2025-08-01,3.87
20,Evelyn Walsh,2019-09-06,New Zealand,false,72,2019-09-06 12:00:00,2024-08-06,3.34
21,Mia Abbe,2016-10-18,Japan,false,77,2016-10-18 16:00:00,2024-05-29,4.12
22,Tina Müller,2022-11-19,India,false,78,2022-11-19 04:00:00,2024-06-11,4.23
23,Liam Singh,2022-05-10,India,false,90,2022-05-10 20:00:00,2025-02-06,3.25
24,Isabella Smith,2021-04-16,Brazil,false,90,2021-04-16 14:00:00,2024-01-29,4.32
25,Mia Singh,2016-09-26,Morocco,false,84,2016-09-26 12:00:00,2024-08-27,3.62
26,Liam Silva,2020-06-25,Ireland,false,73,2020-06-25 12:00:00,2024-06-27,3.86
27,Henry Brown,2020-03-19,Fiji,false,71,2020-03-19 08:00:00,2025-05-11,3.53
28,Elijah Abbe,2020-08-27,Morocco,false,77,2020-08-27 23:00:00,2024-08-16,4.21
29,Emma Singh,2017-08-13,India,false,72,2017-08-13 07:00:00,2025-06-27,3.71
30,Benjamin Dubois,2022-09-28,South Korea,false,71,2022-09-28 03:00:00,2024-01-17,3.38
31,Olivia Dubois,2015-12-27,France,false,74,2015-12-27 15:00:00,2024-07-27,3.21
32,Randy Kamau,2019-10-25,Argentina,false,78,2019-10-26 00:00:00,2024-10-07,4.66
33,Tina Turner,2015-11-02,Italy,false,89,2015-11-02 13:00:00,2025-06-15,4.78
34,Tina Dubois,2020-07-10,New Zealand,false,83,2020-07-10 10:00:00,2024-08-07,3.4
35,Tina Dubois,2017-05-29,Morocco,false,92,2017-05-29 15:00:00,2024-08-08,3.45
36,Emma Nkomo,2020-12-20,Australia,false,90,2020-12-20 04:00:00,2025-03-02,3.24
37,Evelyn Abbe,2015-09-03,India,false,84,2015-09-03 17:00:00,2024-12-23,3.05
38,Sophia Turner,2021-08-21,Poland,false,98,2021-08-21 14:00:00,2024-12-24,3.7
39,Kyle Singh,2016-05-26,Italy,false,83,2016-05-26 13:00:00,2024-05-17,3.41
40,Olivia Williams,2020-11-26,Brazil,false,70,2020-11-26 05:00:00,2025-01-26,4.71
